_input,_num,_widgetName,_source,_resultNumber,_pageUrl,trade1,trade2,molecule,category,patent,dose
,1,drug_info,drug_info,1,http://www.goodrx.com/flomax,Flomax,,(tamsulosin),Alpha Blockers,generic,30 capsules of tamsulosin 0.4mg
,2,drug_info,drug_info,2,http://www.goodrx.com/rapaflo,Rapaflo,,(silodosin),Alpha Blockers,brand,30 capsules of Rapaflo 8mg
,3,drug_info,drug_info,3,http://www.goodrx.com/prinivil,Prinivil,Zestril,(lisinopril),ACE Inhibitors,generic,30 tablets of lisinopril 20mg
,4,drug_info,drug_info,4,http://www.goodrx.com/mavik,Mavik,,(trandolapril),ACE Inhibitors,generic,30 tablets of trandolapril 4mg
,5,drug_info,drug_info,5,http://www.goodrx.com/viibryd,Viibryd,,(vilazodone),SSRIs,brand,30 tablets of Viibryd 40mg
,6,drug_info,drug_info,6,http://www.goodrx.com/avodart,Avodart,,(dutasteride),5-Alpha Reductase Inhibitors,brand,30 capsules of Avodart 0.5mg
,7,drug_info,drug_info,7,http://www.goodrx.com/cialis,Cialis,,,PDE5 Inhibitors,brand,30 tablets of Cialis 5mg
,8,drug_info,drug_info,8,http://www.goodrx.com/propecia,Propecia,,(finasteride),5-Alpha Reductase Inhibitors,generic,30 tablets of finasteride 1mg
,9,drug_info,drug_info,9,http://www.goodrx.com/cardura,Cardura,,(doxazosin),Alpha Blockers,generic,30 tablets of doxazosin 4mg
,10,drug_info,drug_info,10,http://www.goodrx.com/jalyn,Jalyn,,(dutasteride and tamsulosin),5-Alpha Reductase Inhibitor / Alpha Blocker Combinations,brand,30 capsules of Jalyn 0.5mg/0.4mg
,11,drug_info,drug_info,11,http://www.goodrx.com/proscar,Proscar,,(finasteride),5-Alpha Reductase Inhibitors,generic,30 tablets of finasteride 5mg
,12,drug_info,drug_info,12,http://www.goodrx.com/uroxatral,Uroxatral,,(alfuzosin),Alpha Blockers,generic,30 tablets of alfuzosin 10mg
,13,drug_info,drug_info,13,http://www.goodrx.com/hytrin,,,(terazosin),Alpha Blockers,generic,90 capsules of terazosin 5mg
,14,drug_info,drug_info,14,http://www.goodrx.com/tamsulosin,tamsulosin,,(Flomax),Alpha Blockers,generic,30 capsules of tamsulosin 0.4mg
,15,drug_info,drug_info,15,http://www.goodrx.com/zestoretic,Zestoretic,,(lisinopril / HCTZ),ACE Inhibitor / Thiazide Diuretic Combinations,generic,30 tablets of lisinopril / HCTZ 20mg/12.5mg
,16,drug_info,drug_info,16,http://www.goodrx.com/inderal,,,(propranolol),Beta Blockers,generic,60 tablets of propranolol 20mg
,17,drug_info,drug_info,17,http://www.goodrx.com/cozaar,Cozaar,,(losartan),ARBs,generic,30 tablets of losartan 50mg
,18,drug_info,drug_info,18,http://www.goodrx.com/lopressor,Lopressor,,(metoprolol),Beta Blockers,generic,60 tablets of metoprolol 25mg
,19,drug_info,drug_info,19,http://www.goodrx.com/zestril,Zestril,Prinivil,(lisinopril),ACE Inhibitors,generic,30 tablets of lisinopril 20mg
,20,drug_info,drug_info,20,http://www.goodrx.com/dralzine,,,(hydralazine),Arteriolar Vasodilators,generic,90 tablets of hydralazine 25mg
,21,drug_info,drug_info,21,http://www.goodrx.com/lisinopril,lisinopril,,(Zestril Prinivil),ACE Inhibitors,generic,30 tablets of lisinopril 20mg
,22,drug_info,drug_info,22,http://www.goodrx.com/amvaz,,,(amlodipine),Calcium Channel Blockers,generic,30 tablets of amlodipine 5mg
,23,drug_info,drug_info,23,http://www.goodrx.com/lotensin,Lotensin,,(benazepril),ACE Inhibitors,generic,30 tablets of benazepril 20mg
,24,drug_info,drug_info,24,http://www.goodrx.com/tenormin,Tenormin,,(atenolol),Beta Blockers,generic,30 tablets of atenolol 50mg
,25,drug_info,drug_info,25,http://www.goodrx.com/coreg,Coreg,,(carvedilol),Nonselective Alpha/Beta Blockers,generic,60 tablets of carvedilol 25mg
,26,drug_info,drug_info,26,http://www.goodrx.com/hyzaar,Hyzaar,,(losartan / HCTZ),ARB / Thiazide Diuretic Combinations,generic,30 tablets of losartan / HCTZ 100mg/25mg
